Date,Quarter,Close,PE
2021-10-05,2021-Q4,5841.4158194555985,
2021-10-06,2021-Q4,5836.265937751223,
2021-10-07,2021-Q4,5850.565609279877,
2021-10-08,2021-Q4,5833.765995176282,
2021-10-11,2021-Q4,5823.816223728022,
2021-10-12,2021-Q4,5818.51634546915,
2021-10-13,2021-Q4,5823.1662386585385,
2021-10-14,2021-Q4,5832.7160192948095,
2021-10-15,2021-Q4,5832.7160192948095,
2021-10-18,2021-Q4,5808.516575169393,
2021-10-19,2021-Q4,5803.766684277008,
2021-10-20,2021-Q4,5727.41843803835,
2021-10-21,2021-Q4,5666.319841506823,
2021-10-22,2021-Q4,5691.219269553223,
2021-10-25,2021-Q4,5680.11952452049,
2021-10-26,2021-Q4,5689.869300562755,
2021-10-27,2021-Q4,5686.569376363833,
2021-10-28,2021-Q4,5682.519469392431,
2021-10-29,2021-Q4,5641.220418054428,
2021-11-01,2021-Q4,5727.118444929355,
2021-11-02,2021-Q4,5807.766592396909,
2021-11-03,2021-Q4,5705.568939933374,
2021-11-04,2021-Q4,5764.567584701951,
2021-11-05,2021-Q4,5764.567584701951,
2021-11-08,2021-Q4,5768.867485930848,
2021-11-09,2021-Q4,5712.36878373721,
2021-11-10,2021-Q4,5707.868887102319,
2021-11-11,2021-Q4,5656.42006891006,
2021-11-12,2021-Q4,5702.319014585953,
2021-11-15,2021-Q4,5688.469332720787,
2021-11-16,2021-Q4,5624.420803950831,
2021-11-17,2021-Q4,5610.421125531168,
2021-11-18,2021-Q4,5557.572339496944,
2021-11-19,2021-Q4,5557.572339496944,
2021-11-22,2021-Q4,5508.373469622131,
2021-11-23,2021-Q4,5495.9737544504305,
2021-11-24,2021-Q4,5501.223633857804,
2021-11-25,2021-Q4,5522.573143447788,
2021-11-26,2021-Q4,5481.174094406788,
2021-11-29,2021-Q4,5434.275171700918,
2021-11-30,2021-Q4,5429.025292293544,
2021-12-01,2021-Q4,5427.325331342586,
2021-12-02,2021-Q4,5532.122924084058,
2021-12-03,2021-Q4,5390.026188124484,
2021-12-06,2021-Q4,5459.624589410806,
2021-12-07,2021-Q4,5454.674703112426,
2021-12-08,2021-Q4,5475.374227632926,
2021-12-09,2021-Q4,5479.674128861823,
2021-12-10,2021-Q4,5514.673324910978,
2021-12-13,2021-Q4,5493.023822212001,
2021-12-14,2021-Q4,5495.673761341437,
2021-12-15,2021-Q4,5441.924995980234,
2021-12-16,2021-Q4,5393.326112323405,
2021-12-17,2021-Q4,5351.177080509922,
2021-12-20,2021-Q4,5290.028485126897,
2021-12-21,2021-Q4,5307.878075111967,
2021-12-22,2021-Q4,5325.327674285046,
2021-12-23,2021-Q4,5401.125933157217,
2021-12-24,2021-Q4,5381.326387963694,
2021-12-27,2021-Q4,5280.478704490628,
2021-12-28,2021-Q4,5260.47916389111,
2021-12-29,2021-Q4,5234.579758814734,
2021-12-30,2021-Q4,5257.229238543689,
2021-12-31,2021-Q4,5261.129148960595,
2022-01-03,2022-Q1,5297.478314000218,
2022-01-04,2022-Q1,5274.128850350281,
2022-01-05,2022-Q1,5317.127862639243,
2022-01-06,2022-Q1,5300.628241644641,
2022-01-07,2022-Q1,5301.0282324566315,
2022-01-10,2022-Q1,5296.228342712748,
2022-01-11,2022-Q1,5262.579115654059,
2022-01-12,2022-Q1,5238.1296772711485,
2022-01-13,2022-Q1,5231.079839209819,
2022-01-14,2022-Q1,5207.480381302389,
2022-01-17,2022-Q1,5216.330178017675,
2022-01-18,2022-Q1,5236.7297094291835,
2022-01-19,2022-Q1,5226.929934535419,
2022-01-20,2022-Q1,5206.430405420914,
2022-01-21,2022-Q1,5201.330522568037,
2022-01-24,2022-Q1,5202.180503043517,
2022-01-25,2022-Q1,5202.8804869645,
2022-01-26,2022-Q1,5202.8804869645,
2022-01-27,2022-Q1,5209.680330768336,
2022-01-28,2022-Q1,5260.279168485114,
2022-01-31,2022-Q1,5280.428705639129,
2022-02-01,2022-Q1,5275.77881244974,
2022-02-02,2022-Q1,5295.178366831273,
2022-02-03,2022-Q1,5150.131698633271,
2022-02-04,2022-Q1,5117.332452050062,
2022-02-07,2022-Q1,5090.883059607199,
2022-02-08,2022-Q1,5109.282636958756,
2022-02-09,2022-Q1,5102.732787412414,
2022-02-10,2022-Q1,5089.63308831973,
2022-02-11,2022-Q1,5085.583181348327,
2022-02-14,2022-Q1,4977.535663259434,
2022-02-15,2022-Q1,5052.183948547134,
2022-02-16,2022-Q1,5091.783038934178,
2022-02-17,2022-Q1,5110.632605949223,
2022-02-18,2022-Q1,5102.982781669908,
2022-02-21,2022-Q1,5077.533366257021,
2022-02-22,2022-Q1,4961.3360353738235,
2022-02-23,2022-Q1,4997.53520385895,
2022-02-24,2022-Q1,4903.237369932225,
2022-02-25,2022-Q1,5151.031677960247,
2022-02-28,2022-Q1,5193.580700585721,
2022-03-01,2022-Q1,5193.580700585721,
2022-03-02,2022-Q1,5145.7817985528745,
2022-03-03,2022-Q1,5155.4315768921415,
2022-03-04,2022-Q1,5091.783038934176,
2022-03-07,2022-Q1,4921.986939244273,
2022-03-08,2022-Q1,4989.1353968071535,
