Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2015-06-09,136.25,136.25,136.25,136.25,3.89,35.02570694087404,37.68107476635514,40.68341121495327,35.50233644859813,0
2015-06-10,137.55,137.55,137.55,137.55,3.89,35.35989717223651,37.64018691588785,39.9357476635514,35.50233644859813,0
2015-06-11,132.45,132.45,132.45,132.45,3.89,34.048843187660665,37.57009345794392,39.68744744492227,35.50233644859813,0
2015-06-12,131.9,131.9,131.9,131.9,3.89,33.90745501285347,37.511682242990645,39.54726052903443,35.50233644859813,0
2015-06-15,130.4,130.4,130.4,130.4,3.89,33.52185089974293,37.45911214953272,39.49182242990654,35.50233644859813,0
2015-06-16,132.7,132.7,132.7,132.7,3.89,34.11311053984576,37.40070093457944,39.41004672897196,35.50233644859813,0
2015-06-17,132.45,132.45,132.45,132.45,3.89,34.048843187660665,37.38317757009346,39.3107476635514,35.50233644859813,0
2015-06-18,131.5,131.5,131.5,131.5,3.89,33.804627249357324,37.38317757009346,39.20560747663551,35.50233644859813,0
2015-06-19,133.8,133.8,133.8,133.8,3.89,34.39588688946016,37.35397196261682,39.16471962616822,35.50233644859813,0
2015-06-22,138.05,138.05,138.05,138.05,3.89,35.48843187660668,37.32476635514018,39.14135514018691,35.50233644859813,0
2015-06-23,143.2,143.2,143.2,143.2,3.89,36.81233933161953,37.313084112149525,39.094626168224295,35.50233644859813,0
2015-06-24,138.05,138.05,138.05,138.05,3.89,35.48843187660668,37.28971962616822,39.03785166854864,35.50233644859813,0
2015-06-25,138.2,138.2,138.2,138.2,3.89,35.526992287917736,37.25727061960934,38.979440453595366,35.50233644859813,0
2015-06-26,135.9,135.9,135.9,135.9,3.89,34.93573264781491,37.088688946015424,38.94859813084112,35.50233644859813,0
2015-06-29,137.55,137.55,137.55,137.55,3.89,35.35989717223651,36.88165197126589,38.9427570093458,35.50233644859813,0
2015-06-30,138.8,138.8,138.8,138.8,3.89,35.681233933161955,36.8173846190808,38.93691588785047,35.526992287917736,0
2015-07-01,140.8,140.8,140.8,140.8,3.89,36.19537275064268,36.65967433870696,38.93691588785047,35.552699228791774,0
2015-07-02,141.55,141.55,141.55,141.55,3.89,36.38817480719795,36.47196261682242,38.88434579439252,35.681233933161955,0
2015-07-03,142.3,142.3,142.3,142.3,3.89,36.580976863753214,36.47196261682242,38.82593457943925,35.700934579439256,0
2015-07-06,143.9,143.9,143.9,143.9,3.89,36.99228791773779,36.47196261682242,38.820093457943926,35.80607476635514,0
